Person,Work,Work (Drepung),No of folios,No of folios (Drepung),TibSchol Ref #,Drepung Cat #,BDRC #,Author,Author (Drepung),Scribe,Script (Drepung),Place,Topic,Topic (Drepung),Topic signature),Bundle (Drepung),Bundle signature,Folio size,Notes
dGe slong Shes rab grags,Shes rab kyi pha rol tu phyin pa'i man ngag gi bstan bcos mngon par rtogs pa'i rgyan gyi 'grel bshad 'thad ldan gsal byed rin po che'i snang ba,Shes rab kyi pha rol tu phyin pa'i man ngag gi bstan cos mngon par rtogs pa'i rgyan ces bya ba'i grel bshad,198,198,1_026_01,15803,,dGe slong Shes rab grags,Sh+'akya'i dge slong rig par smra ba shes rab grags,,bru tsha,no place,Perfection of wisdom,tsha,tsha,44,44,70 x 10.5,
Unknown,Yon tan rin po che sdud pa tshigs su bcad pa'i don rnam par 'byed pa,mDo bsdus pa'i grel pa,50,50,1_026_02,15929,,Anonymous,Anonymous,,dpe tshugs, 'Tshal gung thang gi gtsug lag khang chen po,Perfection of wisdom,tsha,tsha,93,93,63 x 10,There's a collection of works in the Drepung Catalogue that are the same folio size (15921-15930) - author unnamed in all entries
Unknown,Shes rab pha rol tu phyin pa'i gsal byed,Shes rab pha rol tu phyin pa'i gsal byed,14,14,1_026_03,15930,,Anonymous,no name given,,,skya'i chos grwa + dpal ldan yang dgon PLACE - TEXT ONLY RELATION (dpal ldan yang dgon),Perfection of wisdom,tsha,tsha,93,93,63 x 10,
lDum bu ba bSod nams dpal,Shes phyin gyi rnam bshad lam gyi rim pa snang ba,Shes phyin gyi rnam bshad lam gyi rim pa snang ba,90,90,1_027_01,15783,,lDum bu ba bSod nams dpal,lDum bu ba bSod nams dpal,,shing dpar,no place,Stages of the path,tsha,tsha,40,40,66 x 9,
Sa bzang Ma ti paṇ chen Blo gros rgyal mtshan,Theg pa chen po rgyud bla maʼi bstan bcos kyi rnam bshad nges don rab gsal snang ba,Theg pa chen po rgyud bla maʼi bstan bcos kyi rnam par bshad pa nges don rab gsal snang ba,217,142,1_027_02,15940,,Sa bzang Ma ti paṇ chen Blo gros rgyal mtshan,Blo gros rgyal mtshan,,dpe tshugs,no place,Buddha Nature,tsha,tsha,100,100,45 x 7.6,
Unknown,mNgon par rtogs pa'i rgyan gyi rnam bshad legs par bshad pa rin po che'i snang ba,mNgon rtogs rgyan gyi rnam bshad rin chen snang ba,199,197,1_028_01,15872,http://purl.bdrc.io/resource/WA0XL21CFD58C95CE,(kun dga’ rgyal mtshan / dge slong shes rab grags ?),no name given,,bru tsha,thang po che'i gtsug lag khang,Perfection of wisdom,tsha,tsha,,70,47 x 7,
Yon tan dbang phyug,Byang chub sems dpa'i spyod pa la 'jug pa'i sgrung 'grel,Byang chub sems dpa'i spyod pa la 'jug pa'i sgrung 'grel,39,39,1_028_02,15574,,Yon tan dbang phyug,Bras gsal ba'i me long,,dpe tshugs,,Madhyamaka,tsa,tsa,79,79,65 x 9,
Shag Rings ston pa,dBu ma rtsa ba'i ṭikka rnam dpyad snying po,dBu ma rtsa ba'i ṭikka rnam dpyad snying po,57,57,1_028_03,15374,,Shag Rings ston pa,dBu ma smra ba'i dge slong shag rin,,bru tsha,no place,Madhyamaka,tsa,tsa,7,7,66 x 9.2,
Se sPyil bu ba Chos kyi rgyal rntshan,Theg chen mdo sde rgyan gyi don mdor bsdus bkrol ba,sPyi phu ba'I mdo sde rgyan gyi Ti k+ka 'di la mchan bu yod,61,61,1_029_01,15905,,Se sPyil bu ba Chos kyi rgyal rntshan,unnamed,,bru tsha,no place of composition,Perfection of wisdom,tsha,tsha,89,89,66.5 x 10.5,The title given by Drepung Catalogue appears to match the faded title on the cover page in KDSB
bTsun pa dBu ma pa,Theg pa chen po dbu ma’i nyams len bsgom pa’i lde mig,Theg pa chen po dbu ma’i nyams su blang ps bsgom pa’I rim pa,20,20,1_029_02,19622,,bTsun pa dBu ma pa,bTsun pa dBu ma pa,,dpe tshugs,no place,Madhyamaka,la,la,550,550,36 x 6,
Rin chen grags / Ratna kirti,mTha' bral dbu ma'i rnam gzhag gsal byed sgron me zhes bya ba,,22,,1_029_03,,,Rin chen grags / Ratna kirti,,,,no place,Madhyamaka,,tsa,,34,,
bSod snyom pa Rin chen rgyal mtshan,bsTan bcos mngon par rtogs pa'i rgyan gyi lus mdzes par byed pa,bsTan bcos mngon par rtogs pa'i rgyan gyi lus mdzes par byas pa legs bshad rin po che'I tshoms,48,48,1_029_04,16054,,bSod snyom pa Rin chen rgyal mtshan,bSod snyom pa Rin chen rgyal mtshan dpal bzang po,,dpe tshugs,,Perfection of wisdom,tsha,tsha,139,139,40.9 x 7.4,
zhang 'bal tshad ma pa?,shes rab pha rol tu phyin pa'i 'grel ba'i brjed byang bla ma'i zhal rgyun gyi gdams pa,mngon rtogs rgyan gyi rnam par bshad pa,79,79,1_029_05,15989,,zhang 'bal tshad ma pa?,unnamed,,dpe tshugs,,Perfection of wisdom,tsha,tsha,`117,117,66 x 10,Title given in Drepung Cat appears on cover page of PDF on drive
gSang mda' ba Chos kyi rgyal mtshan dpal bzang po,Phyag rgya chen po la 'khrul ba sel ba'i bstan bcos,Phyag rgya chen po la 'khrul ba sel ba'i bstan dgongs don gsal bar,7,7,1_029_06,6746,,gSang mda' ba Chos kyi rgyal mtshan dpal bzang po,Rig pa smra ba chos kyi rgyal mtshan dpal bzang po,,dpe tshugs,,,ma,ma,98,98,48 x 8.2,
Bya 'Dul 'dzin brTson 'grus 'bar,'Dul ṭik 'thad ldan zhes bya ba gzhi stod,Bya 'dul ba 'dzin pa chen pos mdzad pa'i 'dul ṭik 'thad ldan zhes bya ba,185,185,1_030_01,16151,,Bya 'Dul 'dzin brTson 'grus 'bar,Sh+'akya'i dge slong brTson 'grus 'bar,,bru tsha,no place,Monastic rules,wa,wa,4,4,65.5 x 10,
Bya 'Dul 'dzin brTson 'grus 'bar,Dul ṭik 'thad ldan zhes bya ba gzhi smad,,44,,1_030_02,sPo mi spyan drub,,Bya 'Dul 'dzin brTson 'grus 'bar,,,,,Monastic rules,,,,,,sPo mi spyan drub
rGya dmar ba Byang chub grags,dBu maʼi de kho na nyid gtan la dbab pa,rGya dmar bas mdzad pa'i dbu ma'i de kho na nyid gtan la dbab pa,31,31,2_031_01,15397,http://purl.bdrc.io/resource/WA0XL146632CBD288,rGya dmar ba Byang chub grags,sTod lung rgya dmar ba,,dpe tshugs,,Madhyamaka,tsa,tsa,19,19,67 x 10,rGya dmar was abbot of sTod lung
Bya 'Dul 'dzin brTson 'grus 'bar,Dul ba ʼod ldan gyi ṭīkka,Dul ba ʼod ldan gyi ṭīkka bya 'dul gyis mdzad pa,52,23,2_031_02,16287,,Bya 'Dul 'dzin brTson 'grus 'bar,Bya 'Dul 'dzin brTson 'grus 'bar,,bru tsha,,Monastic rules,wa,wa,52,58,63 x 10,
gnyal pa dar ma ‘od zer,ʼDul ba mdo rtsaʼi ʼgrel pa,ʼDul ba Ti k+ka gnyal ba dar ma 'od zer gyis mdzad pa,125,125,2_031_03,16230,,gnyal pa dar ma ‘od zer,rGya 'dul 'dzin gyi slob ma gnyal ba dar ma ‘od zer,,dpe tshugs,,Monastic rules,wa,wa,32,32,125,
rtsis ‘dul ‘dzin gzhon nu seng ge,las kyi lde mig,,18,,2_031_04,,,rtsis ‘dul ‘dzin gzhon nu seng ge,,,,,Monastic rules,,wa,,47,,
rin chen skyabs,ʼDul ba mdo rtsaʼi ʼgrel pa lung kun las btus pa zhes bya ba gzhi stod,,194,,2_032_01,,,rin chen skyabs,,,,,Monastic rules,,,,,,No works attributed to rin chen skyabs in the Drepung Catalogue
rin chen skyabs,ʼDul ba mdo rtsaʼi ʼgrel ba lung kun las btus pa zhes bya ba gzhi smad,,194,,2_033_01,,,rin chen skyabs,,,,,Monastic rules,,,,,,No works attributed to rin chen skyabs in the Drepung Catalogue
‘Dar tshul khrims rgyal po,So sor thar paʼi rnam bshad,,18,,2_034_01,,http://purl.bdrc.io/resource/WA0XL5A0C4D5C781A,‘dar tshul khrims rgyal po,,,,,Monastic rules,,wa,,34,,
‘Dar tshul khrims rgyal po,sum brgya pa'i ti ka,Sum brgya pa'i Ti k+ka,23,23,2_034_02,16217,http://purl.bdrc.io/resource/WA0XL3EB2B83AF923,‘dar tshul khrims rgyal po,Sh+'akya'i dge slong tshul khrims rgyal po,,bru tsha,,Monastic rules,wa,wa,27,27,68 x 10.5,From same collection as 16218?
Thag ma pa,ʼDul baʼi bsdus don nor buʼi ʼphreng ba,sTon pa'i bstan rtsa dam chos 'dul ba yi bsdus don nor bu'i phreng ba zhes bya 'di bstan pa'i srog shing dpal chen thag ma ba rdo rje gzhon nus legs par sbyar ba,14,14,2_034_03,16286,,thag ma pa,Thag ma ba rdo rje gzhon nu,,dpe tshugs,,Monastic rules,wa,wa,52,52,63 x 9,Only work by Thag ma pa in the Drepung Catalogue
Chos kyi dbang phyug,dGe tshul rnams kyi tshig leʼur byas paʼi rnam bshad,gZhi thams cad yod par smra ba'i dge tshul rnams kyi tshig le'ur byas pa'i rnam par bshad pa,29,29,2_034_04,16197,,chos kyi dbang phyug,dGe slong chos kyi dbang phyug,,bru tsha,,Monastic rules,wa,wa,16,17,69.5 x 11,
Chos kyi dbang phyug,rTsa baʼi lung so sor thar paʼi ṭīkka legs par bkod pa,rTsa baʼi lung so sor thar paʼi ṭīkka legs par bkod pa,91,91,2_034_05,16198,,chos kyi dbang phyug,dGe slong chos kyi dbang phyug,,bru tsha,,Monastic rules,wa,wa,19,17,70 x 11.5,
Unknown,Dul baʼi bslab pa spyir bstan rnam bshad,Dul baʼi bslab pa spyir bstan gyi rnam bshad,39,39,2_034_06,16196,,Anonymous,Byang 'dul 'dzin gyi slob ma dbon rab,,bru tsha,no place,Monastic rules,wa,wa,16,17,69 x 11,
Gro ston bDud rtsi grags ,Yang dag paʼi dge baʼi bshes gnyen gyi zhal gyi gdams pa lam mchog rin po che,Yang dag paʼi dge baʼi bshes gnyen gyi zhal gyi gdams pa lam mchog rin po che,10,10,2_035_01,19090,,Gro ston bDud rtsi grags ,dGe slong bdud rtsi grags,,dpe tshugs,no place,,la,,135,,42 x 6.5,
Gro ston bDud rtsi grags ,byang chub sems dpa'i spyod pa la 'jug pa'i 'grel pa,Gro ston bdud rtsi grags kyis mdzad pa'i spyod 'jug gi 'grel pa,74,74,2_035_02,15576,,Gro ston bDud rtsi grags ,sNar thang gdan rabs bzhi pa bDud rtsi grags,,dpe tshugs,no place,Madhyamaka,tsa,wa,79,,64 x 9,
Gro ston bDud rtsi grags ,ʼDul baʼi rnam bshad yid sbyin nor buʼi them skas,So sor thar pa'i Ti k+ka rin chen thems skas,123,123,2_035_03,16243,,Gro ston bDud rtsi grags ,Gro ston bDud rtsi grags ,,dpe tshugs,no place,Monastic rules,wa,tsha,38,29,none given,
brtson ‘grus grags,Shes rab sgrom ma'i sgra bshad skabs kyi mchan don,Tik+ka shes sgron ma'i sgra bshad skabs kyi mchan don,2,2,2_035_04,19367,,brtson ‘grus grags,Sh+'akya'i dge slong brtson 'grus grags,,dpe tshugs,no place,Madhyamaka + Perfection of wisdom,la,wa,518,38,42.2 x 6.4,
brtson ‘grus grags,ʼDul baʼi spyi don gyi rnam bshad,ʼDul baʼi spyi don gyi rnam bshad,41,41,2_035_05,16252,,brtson ‘grus grags,Sh+'akya'i dge slong brtson 'grus grags,,bru tsha,no place,Monastic rules,wa,la,42,518,66.5 x 11,Another instance #10459
brtson ‘grus grags,ʼDul baʼi spyi don gyi rnam bshad,sPyi don,41,42,,10459second,,brtson ‘grus grags,Sh+'akya'i dge slong brtson 'grus grags,,bru tsha,no place,Monastic rules,ma,,426,,33 x 7.5,Another instance #16252
sPal ti,ʼGrel pa ʼod ldan gyi tshig don gsal byed,ʼGrel pa ʼod ldan pa'i tshig don gsal byed,65,65,2_036_01,16171,,sPal ti,Sh+'akya'i dge slong brtson 'grus dbang phyug,,bru tsha,no place,Monastic rules,wa,wa,12,42,65 x 10,
sPal ti,ʼGrel pa ʼod ldan gyi tshig don gsal byed,Dul ba 'od ldan gyi Tik+ka,65,65,2_036_02,16289,,sPal ti,Sh+'akya'i dge slong brtson 'grus dbang phyug,,bru tsha,no place,Monastic rules,wa,wa,52,13,65 x 11,
byang chub seng ge,lTung ba sde lngaʼi kun tu spyod pa rin po cheʼi sgron ma,lTung ba sde lngaʼi kun tu spyad pa'i gzhi rin po cheʼi phreng ba go rim du bsdebs pa,63,63,2_036_03,16255,,byang chub seng ge,dGe slong byang chub seng ge,,bru tsha,,Monastic rules,wa,wa,42,52,66.5 x 11,
byang chub seng ge,bsLab pa rin po cheʼi phreng ba go rim du bsdebs pa,bsLab pa'i gzhi rin po cheʼi phreng bar bsdebs pa ltung ba sde lnga'i kun tu spyad pa rin po che'i gron ma zhes bya ba bslab pa'i gzhi,58,58,2_036_04,16258,,byang chub seng ge,dGe slong byang chub seng ge,,bru tsha,,Monastic rules,wa,wa,42,42,66.5 x 11,
byang chub seng ge,Colophon: dge slong gi kun tu spyod pa'i cho ga bsdus pa,dGe slong gi kun tu spyod pa'i cho ga bsdus pa,30,30,2_036_05,16256,,byang chub seng ge,Sh+'akya'i dge slong byang chub seng ge,,bru tsha,,Monastic rules,wa,wa,42,42,66.5 x 11,
blo gros rgyal mtshan,ʼDul ba mdoʼi rnam bshad nyi maʼi rgyan,ʼDul mdoʼi rnam bshad nyi maʼi rgyan,225,225,2_037_01,16188,,blo gros rgyal mtshan,dGe slong blo gros rgyal mtshan,shAkya'i dge slong Blo gros seng ge,dpe tshugs,,Monastic rules,wa,wa,15,42,57 x 9.2,
Unknown,Sor mdoʼi ʼgrel pa bdud rtsi yang snying tshig don gsal byed ṭīkka zhes bya baʼi dkar gnad,Dul ba so thar gyi rnam bshad,73,73,2_038_01,16229,,Anonymous,no name given,,bru tsha,,Monastic rules,wa,wa,30,30,69 x 11.5,Drepung number could match 4_110_01 instead. Unclear
Unknown,ʼGrel pa ʼod dang ldan paʼi bsdus don,Dul ba 'od ldan gyi 'grel pa bsdus don,7,7,2_038_02,16288,,Anonymous,no name given,,bru tsha,,Monastic rules,wa,wa,52,52,67 x 11,
bSam gtan bzang po,Me tog phreng rgyud kyi ṭīkka legs bshad rgya mtsho,,102,,2_038_03,,,bsam gtan bzang,,,,bar ri dgon pa,Monastic rules,,wa,,52,,
Shes rab rgya mtsho,bsLab byaʼi gnas gtan la ʼbeb par byed paʼi legs bshad khyad par gsum ldan,bsLab byaʼi gnas gtan la ʼbeb par byed paʼi legs bshad khyad par gsum ldan,53,53,2_038_04,16274,,shes rab rgya mtsho,Shes rab rgya mtsho,?,dpe tshugs,,Monastic rules,wa,wa,47,41,46.7 x 8.2,
dPal ldan seng,colophon: dam pa'i chos 'dual ba kun las btus pa rin po che snar thang pa,Di 'dul lung btus pa,30,30,2_039_01,16273,,dpal ldan seng,Ba ri pa dpal ldan seng ge,,dpe tshugs,,Monastic rules,wa,wa,47,47,46 x 9,
Unknown,so thar mdoʼi ʼgrel pa zhes bya baʼi dkaʼ gnad,Dul ba'i rnam bshad ma tshang ba,100,100,2_039_02,16218,,Anonymous,no name given,,bru tsha,,Monastic rules,wa,wa,27,27,68 x 10.5,From same collection as 16217?
Unknown,Rab byung gi cho ga,dGe tshul gyi sdom pa 'bog chog bzhugs so,12,12,2_039_03,16267,,Anonymous,no name given,,dpe tshugs,,,wa,wa,47,47,33.7 x 7.8,
Unknown,Las chog gi brda' sprod paʼi gdams ngag gi bshad pa bklags pas don ʼgrub pa,Las chog gi brda sprod paʼi gdams ngag gi bshad pa bklags pas don ʼgrub pa,50,50,2_039_04,16270,,Anonymous,no name given,,dpe tshugs,no place,Monastic rules,wa,wa,47,47,none given,
Unknown,ʼDul ba lung nas btus paʼi bshad sbyar,ʼDul lung nas btus paʼi bshad sbyar,50,50,2_039_05,19374,,Anonymous,no name given,,dpe tshugs,gnyes [=snye?] thang brag sna,Monastic rules,la,wa,518,47,42.5 x 6.5,
‘Jad pa gZhon nu byang chub,chos mngon pa kun las btus pa'i TIkka shes bya thams cad gsal bar byed pa'i sgron me,bZad pa gzhon byang gis mdzad pa'i mngon pa kun las btus pa'i Tik+ka ,263,155,2_040_01,16077,http://purl.bdrc.io/resource/WA0XL613D25B2D82B,‘jad pa gzhon nu byang chub,bZad pa gzhon nu byang chub,,bru tsha,no place,Abhidharma,dza,-,10,-,65 x 11.5,
bZad rin mo,chos mngon pa kun las btus pa'i rnam par bshad pa gsal ba'i rgyan,Chos mngon pa kun las btus pa'i rnam par bshad pa gsal ba blo'i rgyan,180,180,2_041_01,16109,,bzad rin mo,bZad pa ring po,,dpe tshugs,no place,Abhidharma,dza,dza,38,38,none given,
Unknown,chos mngon kun btus rnam bshad snying po legs kyi 'od zer las le'u dang po'i ti ga,Chos mngon pa kun las btus pa'i bshad pa rnam bshad snying po legs bshad kyi 'od zer,113,113,2_041_02,16066,,Anonymous,no name given,,dpe tshugs,no place,Abhidharma,dza,dza,1,1,66 x 9.5,
‘Gar dharma smon lam,chos mngon pa kun las btus pa'i bshad pa shes bya gsal byed,,173,,2_042_01,Spo bo spyan drug,http://purl.bdrc.io/resource/WA0XL0AF9EE45F24B,‘gar dharma smon lam,,,,chos grwa chen po dpal snar thang gi gtsug lag khang gi 'khris na yod pa'i mthong smon dgu gling,Abhidharma,,-,,-,,
Thar pa lo tsa ba nyi ma rgyal mtshan,chos mngon pa kun las btus pa'i de kho na nyid 'byung ba,mNgon pa kun las btus pa'i de kho na nyid 'byung ba,274,274,2_043_01,16117,,Thar pa lo tsa ba nyi ma rgyal mtshan,Sh+'akya'i dge slong nyi ma rgyal mtshan dpal bzang po,,bru tsha,no place,Abhidharma,dza,dza,47,47,34 x 8,
Bsod nams ye shes,chos mngon pa mngon mdzod kyi sbyor tig,Chos mngon pa mdzod kyi sbyor Ti ka,38,38,2_044_01,16102,,bsod nams ye shes,Sh+'akya'i btsun pa bsod nams ye shes,Rin chen bzang po,dpe tshugs,no place,Abhidharma,dza,dza,30,30,41 x 8,
Unknown,Chos mngon pa gsal baʼi rgyan,Chos mngon pa gsal baʼi rgyan,58,58,2_044_02,16133,,Anonymous,no name given,,bru tsha,dpal ldan gsang phu'i chos grwa,Abhidharma,dza,dza,52,52,42 x 6.5,
Gnyag,Tshad maʼi spyi skad bsdus pa,Tshad maʼi spyi skad cung zad bsdus pa,8,8,2_044_03,16463,,gnyag,gNyag,,dpe tshugs,gsang phu ne'u thog ,Epistemology,zha,dza,45,45{1},35 x 10,
Jnanashri,Rig pa snying po,Byang chub sems dpa' dza+nya+' na shri'i rigs pa'i snying po de kho na nyid bsdus pa gsal byed nyi ma'i 'od,16,16,2_044_04,16314,,Jnanashri,dGe slong ye shes dpal,,dpe tshugs,gsang phu ne’u thog gi gtsug lag khang + dpal rtse dkar gyi gtsug lag khang,Epistemology,zha,zha,2,2,65 x 9.5,BDRC recognises the author as byang chung sems dpa' dz+nya na shrI (P3JT13457)
Jnanashri,rnam nges tikka blo gsal mgul,Tshad ma rnam par nges pa'i Ti k+ka las mngon sum le'u ,101,102,2_044_05,16376,,Jnanashri,Ne'u thog pa chos kyi bla ma'i slob ma chos kyi ye shes,,dpe tshugs,dben gnas brag dkar,Epistemology,zha,zha,21,21,61.5 x 8,BDRC recognises the author as byang chung sems dpa' dz+nya na shrI (P3JT13457)
Chu mig pa seng ge dpal,rnam rgyal,Tshad ma sde bdun gyi don phyogs gcig tu bsdus pa gzhan gyi phyogs thams cad las rnam par rgyal ba,76,77,2_045_01,16362,,Chu mig pa seng ge dpal,gSang phu ba seng ge dpal,,dpe tshugs,no place,Epistemology,zha,zha,15,15,66 x 12,
Sangs rgyas rgyal mtshan,Tshad ma'i mtshan nyid bsdus pa rigs pa'i sgo 'byed,Tshad ma'i mtshan nyid rigs pa'i sgo 'byed pa,9,9,2_045_02,16315,,sangs rgyas rgyal mtshan,gSang phu'i gdan rabs sum cu pa sangs rgyas rgyal mtshan,,bru tsha,no place,Epistemology,zha,zha,2,2,none given,
Anonymous,Tshad ma rnam ʼgrel leʼu gsum paʼi rnam bshad,,32,,2_045_03,16375?,,Anonymous,,,,,Epistemology,,zha,,21,,Could be 16375 but Drepung catalogue notes its written in dpe tshugs but mss in KDSB is written in 'bru tsha
Unknown,Tshad ma rnam 'grel rnam par 'byed pa,Tshad ma rnam 'grel rnam par 'byed pa,133,123,2_045_04,16313,,Anonymous,no name given,,dpe tshugs,broM (sGrom?) pa rgyang gi gtsug lag bkhang chen po[r nye bar sbyar ba] {could be (s)Grom pa rgyang in gTsang},Epistemology,zha,zha,2,2,62.5 x 10,
Unknown,thal phreng mdor bsdus pa,thal phreng mdor bsdus pa,10,10,2_046_01,16469,,Anonymous - probably by Zha lu Rin chen bsod nams ‘phel (14th c.),no name given,,dpe tshugs,no place,Epistemology,zha,zha,45,45,45 x 9.2,
Sangs rgyas bzang po,Legs par bshad pa'i gter mdzod blo gsal yid la dga' ba ster byed,Legs par bshad pa'i gter mdzod blo gsal yid la dga' ba ster ba,46,46,2_046_02,16316,,sangs rgyas bzang po,Sangs rgyas bzang po,,dpe tshugs,bod kyi rdo rje gdan Gur thang rtsug lag khang chen ( = Gung thang gtsug lag khang?),Epistemology,zha,zha,2,44410,63.5 x 9.5,
Unknown,Tshad ma'i legs bshad dri med bcud kyi bdud rtsi,Tshad ma'i legs bshad dri med bcud kyi bdud rtsi,47,47,2_046_03,16359,,Anonymous,no name given,,dpe tshugs,no place,Epistemology,zha,zha,15,15,62 x 9,Sam manuscript as 3_088_02
Grags pa rgya mtsho bde legs 'byung gnas,Tshad ma rnam par nges pa'i sbyor 'phreng yid bzhin nor bu,Tshad ma rnam par nges pa'i sbyor 'phreng yid bzhin nor bu,88,89,2_046_04,16322,,Grags pa rgya mtsho bde legs 'byung gnas,Grags pa rgya mtsho'am legs pa'i bde legs 'byung gnas,,dpe tshugs,no place,Epistemology,zha,zha,6,6,61 x 8.7,
Anonymous,Tshad ma rnam nges kyi 'grel ba,Tshad ma rnam nges le'u gsum pa'i 'grel ba,63,64,2_046_05,16358,,Anonymous,no name given,dkon mchog nor bu[s bris pa],dpe tshugs,no place,Epistemology,zha,zha,15,12 (->15),61 x 9,Colophon is found on folio 64(a) in PDF
gTsang drug pa rDo rje 'od zer,Rigs pa'i gsal byed sgron ma; Incipit: yang dag rigs pa’i gsal byed ; conclusive verses&colophon: yang dag rigs pa'i gsal byed sgron ma; cover page: tshad ma'i spyi don bsdus pa,Tshad ma'i spyi don bsdus pa gtsang drug pa rdo rje 'od zer gyi mdzad pa,78,78,2_047_01,16412,,gTsang drug pa rDo rje 'od zer,Sh+'akya'i dge slong rdo rje 'od zer,,dpe tshugs,bsngags pa'i gnas dpal snar thang gi dben gnas,Epistemology,zha,zha,31,31,68 x 10.5,
Mchims nam mkha’ grags ,dbu ma'i khrid,,19,,2_047_02,,,Mchims nam mkha’ grags ,,,,,Madhyamaka,,zha,,112,,
Mchims nam mkha’ grags ,Shes rab kyi pha rol tu phyin paʼi sgom don rin chen spungs pa,Sher phyin gyi sgom don nam mkha' grags kyis mdzad pa ,5,5,2_047_03,19366,,Mchims nam mkha’ grags ,Sh+'akya'i dge slong nam mkha' grags,,dpe tshugs,,Perfection of wisdom,la,tsa,518,128,43.5 x 6.4,
Mchims nam mkha’ grags ,sKyes bu gsum gyi lam legs pa,sKyes bu gsum gyi lam legs pa,20,20,2_047_04,19361,,Mchims nam mkha’ grags ,Mchims nam mkha’ grags ,,dpe tshugs,no place,,la,la,518,52,41 x 6.8,
Mchims nam mkha’ grags ,mi g.yo ba dkar po'i stod pa,Mi g.yo ba dkar po la stod pa,2,2,2_047_05,13652,,Mchims nam mkha’ grags ,Mchims blo bzang grags pa,,bris ma dbu can,,eulogy,ma,la,1025,1025,47 x 6,
Mchims nam mkha’ grags ,Rab gnas ji ltar sgrub paʼi man ngag,Rab tu gnas pa ji ltar bsgrub pa'i man ngag,37,41,,10573,,Mchims nam mkha’ grags ,dGe slong nam mkha' grags,,dpe tshugs,,consecration,ma,ma,611,,32 x 9,Other versions: 12443 and 12490
Mchims nam mkha’ grags ,Rab gnas ji ltar sgrub paʼi man ngag,Rab tu gnas pa,37,37,2_047_06,12443,,Mchims nam mkha’ grags ,dGe slong nam mkha' grags,,dpe tshugs,,consecration,ma,ma,926,,38 x 7,Other versions: 10573 and 12490
Mchims nam mkha’ grags ,Rab gnas ji ltar sgrub paʼi man ngag,Rab tu gnas pa,37,37,,12490,,Mchims nam mkha’ grags ,dGe slong nam mkha' grags,,bru tsha,,consecration,ma,ma,926,,34 x 6.5,Other versions: 10573 and 12443
Mchims nam mkha’ grags ,smon pa byang chub mchog tu sems bskyed pa'i cho ga,,12,,2_047_07,,,Mchims nam mkha’ grags ,,,,no place,ritual,,ma,,612,,Could it be 13664? 20 folios and signature phyi ma 1025
Mchims nam mkha’ grags ,De bzhin gshegs pa brgyad ʼkhor dang bcas pa la gsol ba gdab pa zhes pa. Colophon: mchod pa ji ltar bsgrub pa'i tshul,De bzhin gshegs pa brgyad ʼkhor dang bcas pa la gsol ba gdab pa,22,22,2_047_08,10665,,Mchims nam mkha’ grags ,Mchims nam mkha’ grags ,,bru tsha,,prayer,ma,la,616,550,47 x 5.8,
mChims nam mkha' grags,bDe gshegs brgyad kyi mchod pa,bDe gshegs brgyad kyi mchod pa,3,3,2_047_09,19270,,Mchims nam mkha’ grags ,dGe slong nam mkha' grags,,dpe tshugs,,eulogy,la,la,501,501,43 x 6.5,May have come from same collection as bCom ldan rigs pa'I ral gri's writings? 
Mchims nam mkha’ grags ,gnas brtan phyag mchod cho ga,,5,,2_047_10,,,Mchims nam mkha’ grags ,,,,,ritual,,,,,,
Mchims nam mkha’ grags ,gNas brtan phyag mchod kyi rim paʼi phyag len gsal 'debs. Incipit: gnas rtan gyi phyag mchod pa'i phyag len gsal byed,gNas brtan phyag mchod kyi rim pa phyag len gsal byed,16,15,,19132,,Mchims nam mkha’ grags ,Mchims blo bzang grags pa,,dpe tshugs,,eulogy,la,la,463,385,44 x 9,Other version: 18718
Mchims nam mkha’ grags ,gNas brtan phyag mchod kyi rim paʼi phyag len gsal 'debs. Incipit: gnas rtan gyi phyag mchod pa'i phyag len gsal byed,gNas brtan gyi phyag mchod kyi rim paʼi phyag len gsal byed,16,16,2_047_11,18718,,Mchims nam mkha’ grags ,Sh+'akya'i btsun pa mchims,,dpe tshugs,,eulogy,la,la,345,385,31 x 7,Other version: 19132
